"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4ZW7TG9X","journalArticle","2007","Lau, John W; Green, Peter J","Bayesian Model-Based Clustering Procedures","Journal of Computational and Graphical Statistics","","1061-8600, 1537-2715","10.1198/106186007X238855","http://www.tandfonline.com/doi/abs/10.1198/106186007X238855","This paper establishes a general framework for Bayesian model-based clustering, in which subset labels are exchangeable, and items are also exchangeable, possibly up to covariate eﬀects. It is rich enough to encompass a variety of existing procedures, including some recently discussed methodologies involving stochastic search or hierarchical clustering, but more importantly allows the formulation of clustering procedures that are optimal with respect to a speciﬁed loss function. Our focus is on loss functions based on pairwise coincidences, that is, whether pairs of items are clustered into the same subset or not.","2007-09","2019-11-13 14:19:16","2019-11-13 14:19:16","2019-11-13 14:19:16","526-558","","3","16","","Journal of Computational and Graphical Statistics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/YBX3V8IR/Lau and Green - 2007 - Bayesian Model-Based Clustering Procedures.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIGBYZGG","journalArticle","2008","Rogers, Simon; Girolami, Mark; Kolch, Walter; Waters, Katrina M.; Liu, Tao; Thrall, Brian; Wiley, H. Steven","Investigating the correspondence between transcriptomic and proteomic expression profiles using coupled cluster models","Bioinformatics","","1460-2059, 1367-4803","10.1093/bioinformatics/btn553","https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btn553","Motivation: Modern transcriptomics and proteomics enable us to survey the expression of RNAs and proteins at large scales. While these data are usually generated and analyzed separately, there is an increasing interest in comparing and co-analyzing transcriptome and proteome expression data. A major open question is whether transcriptome and proteome expression is linked and how it is coordinated.","2008-12-15","2019-11-13 14:19:18","2019-11-13 14:19:18","2019-11-13 14:19:18","2894-2900","","24","24","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/ZBYXIURU/Rogers et al. - 2008 - Investigating the correspondence between transcrip.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFS36L3G","journalArticle","2019","Ahmed, Rizwan; Omidian, Zahra; Giwa, Adebola; Cornwell, Benjamin; Majety, Neha; Bell, David R.; Lee, Sangyun; Zhang, Hao; Michels, Aaron; Desiderio, Stephen; Sadegh-Nasseri, Scheherazade; Rabb, Hamid; Gritsch, Simon; Suva, Mario L.; Cahan, Patrick; Zhou, Ruhong; Jie, Chunfa; Donner, Thomas; Hamad, Abdel Rahim A.","A Public BCR Present in a Unique Dual-Receptor-Expressing Lymphocyte from Type 1 Diabetes Patients Encodes a Potent T Cell Autoantigen","Cell","","00928674","10.1016/j.cell.2019.05.007","https://linkinghub.elsevier.com/retrieve/pii/S0092867419305057","T and B cells are the two known lineages of adaptive immune cells. Here, we describe a previously unknown lymphocyte that is a dual expresser (DE) of TCR and BCR and key lineage markers of both B and T cells. In type 1 diabetes (T1D), DEs are predominated by one clonotype that encodes a potent CD4 T cell autoantigen in its antigen binding site. Molecular dynamics simulations revealed that this peptide has an optimal binding register for diabetogenic HLADQ8. In concordance, a synthetic version of the peptide forms stable DQ8 complexes and potently stimulates autoreactive CD4 T cells from T1D patients, but not healthy controls. Moreover, mAbs bearing this clonotype are autoreactive against CD4 T cells and inhibit insulin tetramer binding to CD4 T cells. Thus, compartmentalization of adaptive immune cells into T and B cells is not absolute, and violators of this paradigm are likely key drivers of autoimmune diseases.","2019-05","2019-11-13 14:19:20","2019-11-13 14:19:20","2019-11-13 14:19:20","1583-1599.e16","","6","177","","Cell","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/W34YAEKW/Ahmed et al. - 2019 - A Public BCR Present in a Unique Dual-Receptor-Exp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9CL2E8F","journalArticle","","Banerjee, Anjishnu; Murray, Jared; Dunson, David B","Bayesian learning of joint distributions of objects","","","","","","There is increasing interest in broad application areas in deﬁning ﬂexible joint models for data having a variety of measurement scales, while also allowing data of complex types, such as functions, images and documents. We consider a general framework for nonparametric Bayes joint modeling through mixture models that incorporate dependence across data types through a joint mixing measure. The mixing measure is assigned a novel inﬁnite tensor factorization (ITF) prior that allows ﬂexible dependence in cluster allocation across data types. The ITF prior is formulated as a tensor product of stick-breaking processes. Focusing on a convenient special case corresponding to a Parafac factorization, we provide basic theory justifying the ﬂexibility of the proposed prior and resulting asymptotic properties. Focusing on ITF mixtures of product kernels, we develop a new Gibbs sampling algorithm for routine implementation relying on slice sampling. The methods are compared with alternative joint mixture models based on Dirichlet processes and related approaches through simulations and real data applications.","","2019-11-13 14:19:21","2019-11-13 14:19:21","","9","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/stephen/Zotero/storage/JWU76EPZ/Banerjee et al. - Bayesian learning of joint distributions of object.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RE9IV55J","journalArticle","2013","Lock, Eric F.; Hoadley, Katherine A.; Marron, J. S.; Nobel, Andrew B.","Joint and individual variation explained (JIVE) for integrated analysis of multiple data types","The Annals of Applied Statistics","","1932-6157","10.1214/12-AOAS597","http://projecteuclid.org/euclid.aoas/1365527209","Research in several fields now requires the analysis of datasets in which multiple highdimensional types of data are available for a common set of objects. In particular, The Cancer Genome Atlas (TCGA) includes data from several diverse genomic technologies on the same cancerous tumor samples. In this paper we introduce Joint and Individual Variation Explained (JIVE), a general decomposition of variation for the integrated analysis of such datasets. The decomposition consists of three terms: a low-rank approximation capturing joint variation across data types, low-rank approximations for structured variation individual to each data type, and residual noise. JIVE quantifies the amount of joint variation between data types, reduces the dimensionality of the data, and provides new directions for the visual exploration of joint and individual structure. The proposed method represents an extension of Principal Component Analysis and has clear advantages over popular two-block methods such as Canonical Correlation Analysis and Partial Least Squares. A JIVE analysis of gene expression and miRNA data on Glioblastoma Multiforme tumor samples reveals gene-miRNA associations and provides better characterization of tumor types.","2013-03","2019-11-13 14:19:23","2019-11-13 14:19:23","2019-11-13 14:19:23","523-542","","1","7","","Ann. Appl. Stat.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/6RPYGPE4/Lock et al. - 2013 - Joint and individual variation explained (JIVE) fo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37HFU3W3","journalArticle","2010","Kiddle, S. J.; Windram, O. P. F.; McHattie, S.; Mead, A.; Beynon, J.; Buchanan-Wollaston, V.; Denby, K. J.; Mukherjee, S.","Temporal clustering by affinity propagation reveals transcriptional modules in Arabidopsis thaliana","Bioinformatics","","1367-4803, 1460-2059","10.1093/bioinformatics/btp673","https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btp673","Motivation: Identifying regulatory modules is an important task in the exploratory analysis of gene expression time series data. Clustering algorithms are often used for this purpose. However, gene regulatory events may induce complex temporal features in a gene expression proﬁle, including time delays, inversions and transient correlations, which are not well accounted for by current clustering methods. As the cost of microarray experiments continues to fall, the temporal resolution of time course studies is increasing. This has led to a need to take account of detailed temporal features of this kind. Thus, while standard clustering methods are both widely used and much studied, their shared shortcomings with respect to such temporal features motivates the work presented here.","2010-02-01","2019-11-13 14:19:25","2019-11-13 14:19:25","2019-11-13 14:19:25","355-362","","3","26","","Bioinformatics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/9BS9TH8L/Kiddle et al. - 2010 - Temporal clustering by affinity propagation reveal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGEXFW84","journalArticle","2018","Argelaguet, Ricard; Velten, Britta; Arnol, Damien; Dietrich, Sascha; Zenz, Thorsten; Marioni, John C; Buettner, Florian; Huber, Wolfgang; Stegle, Oliver","Multi‐Omics Factor Analysis—a framework for unsupervised integration of multi‐omics data sets","Molecular Systems Biology","","1744-4292, 1744-4292","10.15252/msb.20178124","https://onlinelibrary.wiley.com/doi/abs/10.15252/msb.20178124","","2018-06","2019-11-13 14:19:27","2019-11-13 14:19:27","2019-11-13 14:19:27","","","6","14","","Mol Syst Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/VRQ47M3N/Argelaguet et al. - 2018 - Multi‐Omics Factor Analysis—a framework for unsupe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XITFT2FH","journalArticle","","Knowles, David; Ghahramani, Zoubin","Nonparametric Bayesian Sparse Factor Models with application to Gene Expression modelling","","","","","","","","2019-11-13 14:19:27","2019-11-13 14:19:27","","21","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/stephen/Zotero/storage/38FTGR6U/Knowles and Ghahramani - Nonparametric Bayesian Sparse Factor Models with a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KECINLM","journalArticle","2019","Zhang, Allen W.; O’Flanagan, Ciara; Chavez, Elizabeth A.; Lim, Jamie L. P.; Ceglia, Nicholas; McPherson, Andrew; Wiens, Matt; Walters, Pascale; Chan, Tim; Hewitson, Brittany; Lai, Daniel; Mottok, Anja; Sarkozy, Clementine; Chong, Lauren; Aoki, Tomohiro; Wang, Xuehai; Weng, Andrew P; McAlpine, Jessica N.; Aparicio, Samuel; Steidl, Christian; Campbell, Kieran R.; Shah, Sohrab P.","Probabilistic cell-type assignment of single-cell RNA-seq for tumor microenvironment profiling","Nature Methods","","1548-7091, 1548-7105","10.1038/s41592-019-0529-1","http://www.nature.com/articles/s41592-019-0529-1","","2019-10","2019-11-13 14:19:29","2019-11-13 14:19:30","2019-11-13 14:19:29","1007-1015","","10","16","","Nat Methods","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/ZZXH4FTL/Zhang et al. - 2019 - Probabilistic cell-type assignment of single-cell .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3AMLCJM","journalArticle","2010","Savage, Richard S.; Ghahramani, Zoubin; Griffin, Jim E.; de la Cruz, Bernard J.; Wild, David L.","Discovering transcriptional modules by Bayesian data integration","Bioinformatics","","1460-2059, 1367-4803","10.1093/bioinformatics/btq210","https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btq210","Motivation: We present a method for directly inferring transcriptional modules (TMs) by integrating gene expression and transcription factor binding (ChIP-chip) data. Our model extends a hierarchical Dirichlet process mixture model to allow data fusion on a geneby-gene basis. This encodes the intuition that co-expression and co-regulation are not necessarily equivalent and hence we do not expect all genes to group similarly in both datasets. In particular, it allows us to identify the subset of genes that share the same structure of transcriptional modules in both datasets.","2010-06-15","2019-11-13 14:19:32","2019-11-13 14:19:32","2019-11-13 14:19:32","i158-i167","","12","26","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/stephen/Zotero/storage/SSTYTVJT/Savage et al. - 2010 - Discovering transcriptional modules by Bayesian da.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
